
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Serie histórica diaria del tipo de cambio peso-dólar"

"Fecha de consulta: 26/04/2026 03:13:48"

""

"Título","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954"
"Periodo disponible","19/04/1954 - 24/04/2026"
"Periodicidad","Diaria"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF63528"
17/04/2023,18.08680
18/04/2023,18.06300
19/04/2023,18.04480
20/04/2023,18.00900
21/04/2023,17.99880
24/04/2023,18.00820
25/04/2023,18.08920
26/04/2023,18.10300
27/04/2023,18.07230
28/04/2023,17.99750
02/05/2023,18.03250
03/05/2023,17.90600
04/05/2023,17.95750
05/05/2023,17.78630
08/05/2023,17.82130
09/05/2023,17.76080
10/05/2023,17.58450
11/05/2023,17.62870
12/05/2023,17.61420
15/05/2023,17.53800
16/05/2023,17.46720
17/05/2023,17.58720
18/05/2023,17.73420
19/05/2023,17.69300
22/05/2023,17.86800
23/05/2023,17.96870
24/05/2023,17.81950
25/05/2023,17.82520
26/05/2023,17.67230
29/05/2023,17.56050
30/05/2023,17.65320
31/05/2023,17.74180
01/06/2023,17.56730
02/06/2023,17.50630
05/06/2023,17.47320
06/06/2023,17.41920
07/06/2023,17.36080
08/06/2023,17.40850
09/06/2023,17.28400
12/06/2023,17.31200
13/06/2023,17.21850
14/06/2023,17.12470
15/06/2023,17.17620
16/06/2023,17.07920
19/06/2023,17.09450
20/06/2023,17.20430
21/06/2023,17.15470
22/06/2023,17.17130
23/06/2023,17.17950
26/06/2023,17.14450
27/06/2023,17.10130
28/06/2023,17.07200
29/06/2023,17.11870
30/06/2023,17.13580
03/07/2023,17.05170
04/07/2023,17.02600
05/07/2023,17.00400
06/07/2023,17.28250
07/07/2023,17.10120
10/07/2023,17.06050
11/07/2023,17.07830
12/07/2023,16.85370
13/07/2023,16.89050
14/07/2023,16.78920
17/07/2023,16.78580
18/07/2023,16.74800
19/07/2023,16.76670
20/07/2023,16.84600
21/07/2023,16.93930
24/07/2023,16.83670
25/07/2023,16.90750
26/07/2023,16.88250
27/07/2023,16.73380
28/07/2023,16.68950
31/07/2023,16.73030
01/08/2023,16.85330
02/08/2023,17.01930
03/08/2023,17.28920
04/08/2023,17.05550
07/08/2023,17.06080
08/08/2023,17.11220
09/08/2023,17.07670
10/08/2023,16.95480
11/08/2023,17.00450
14/08/2023,17.06720
15/08/2023,17.13880
16/08/2023,17.07680
17/08/2023,17.12250
18/08/2023,17.04770
21/08/2023,17.02020
22/08/2023,16.92670
23/08/2023,16.80770
24/08/2023,16.80900
25/08/2023,16.77180
28/08/2023,16.74320
29/08/2023,16.84020
30/08/2023,16.74770
31/08/2023,16.91700
01/09/2023,17.11130
04/09/2023,17.17500
05/09/2023,17.34920
06/09/2023,17.58050
07/09/2023,17.55430
08/09/2023,17.57670
11/09/2023,17.38130
12/09/2023,17.25530
13/09/2023,17.12350
14/09/2023,17.10420
15/09/2023,17.08070
18/09/2023,17.13070
19/09/2023,17.08050
20/09/2023,17.02400
21/09/2023,17.16750
22/09/2023,17.15680
25/09/2023,17.37330
26/09/2023,17.47580
27/09/2023,17.72870
28/09/2023,17.61950
29/09/2023,17.41270
02/10/2023,17.59200
03/10/2023,17.90250
04/10/2023,18.01700
05/10/2023,18.24070
06/10/2023,18.18370
09/10/2023,18.34820
10/10/2023,17.99170
11/10/2023,17.84200
12/10/2023,17.91320
13/10/2023,18.03620
16/10/2023,17.95680
17/10/2023,17.90970
18/10/2023,18.24400
19/10/2023,18.28730
20/10/2023,18.23430
23/10/2023,18.12180
24/10/2023,18.28420
25/10/2023,18.31220
26/10/2023,18.21780
27/10/2023,18.07520
30/10/2023,18.06400
31/10/2023,18.03680
01/11/2023,17.93050
03/11/2023,17.41170
06/11/2023,17.53080
07/11/2023,17.50970
08/11/2023,17.50170
09/11/2023,17.48880
10/11/2023,17.74800
13/11/2023,17.61380
14/11/2023,17.39170
15/11/2023,17.33870
16/11/2023,17.27080
17/11/2023,17.21750
21/11/2023,17.21020
22/11/2023,17.21330
23/11/2023,17.17870
24/11/2023,17.12680
27/11/2023,17.15550
28/11/2023,17.13570
29/11/2023,17.18700
30/11/2023,17.37300
01/12/2023,17.21430
04/12/2023,17.40600
05/12/2023,17.42150
06/12/2023,17.26850
07/12/2023,17.41970
08/12/2023,17.36880
11/12/2023,17.44700
13/12/2023,17.39800
14/12/2023,17.29900
15/12/2023,17.19080
18/12/2023,17.22770
19/12/2023,17.06520
20/12/2023,17.06730
21/12/2023,17.05900
22/12/2023,16.97380
26/12/2023,16.97270
27/12/2023,16.92200
28/12/2023,16.89350
29/12/2023,16.91900
02/01/2024,17.02970
03/01/2024,17.04920
04/01/2024,17.04580
05/01/2024,16.89870
08/01/2024,16.81330
09/01/2024,16.93470
10/01/2024,16.99120
11/01/2024,16.98980
12/01/2024,16.85800
15/01/2024,16.89830
16/01/2024,17.15980
17/01/2024,17.29570
18/01/2024,17.19950
19/01/2024,17.13250
22/01/2024,17.11250
23/01/2024,17.35200
24/01/2024,17.16730
25/01/2024,17.23750
26/01/2024,17.16570
29/01/2024,17.23330
30/01/2024,17.19320
31/01/2024,17.16330
01/02/2024,17.13350
02/02/2024,17.14470
06/02/2024,17.03570
07/02/2024,17.03980
08/02/2024,17.10230
09/02/2024,17.08550
12/02/2024,17.06800
13/02/2024,17.19820
14/02/2024,17.11050
15/02/2024,17.06800
16/02/2024,17.06020
19/02/2024,17.05000
20/02/2024,17.04580
21/02/2024,17.06030
22/02/2024,17.12100
23/02/2024,17.12600
26/02/2024,17.12600
27/02/2024,17.06050
28/02/2024,17.09620
29/02/2024,17.06330
01/03/2024,17.02170
04/03/2024,16.98280
05/03/2024,16.92570
06/03/2024,16.87280
07/03/2024,16.87700
08/03/2024,16.79850
11/03/2024,16.80830
12/03/2024,16.82720
13/03/2024,16.71270
14/03/2024,16.69200
15/03/2024,16.71000
19/03/2024,16.85230
20/03/2024,16.75900
21/03/2024,16.76200
22/03/2024,16.73670
25/03/2024,16.70320
26/03/2024,16.67800
27/03/2024,16.53230
01/04/2024,16.65780
02/04/2024,16.56730
03/04/2024,16.54150
04/04/2024,16.51730
05/04/2024,16.47580
08/04/2024,16.33570
09/04/2024,16.39320
10/04/2024,16.48830
11/04/2024,16.45830
12/04/2024,16.66930
15/04/2024,16.68150
16/04/2024,17.02520
17/04/2024,16.99480
18/04/2024,17.11450
19/04/2024,17.21200
22/04/2024,17.12430
23/04/2024,16.99950
24/04/2024,17.10980
25/04/2024,17.18830
26/04/2024,17.15520
29/04/2024,17.02430
30/04/2024,17.09580
02/05/2024,16.93930
03/05/2024,17.00420
06/05/2024,16.89470
07/05/2024,16.90830
08/05/2024,16.90870
09/05/2024,16.86600
10/05/2024,16.76900
13/05/2024,16.80720
14/05/2024,16.84600
15/05/2024,16.67820
16/05/2024,16.68930
17/05/2024,16.62170
20/05/2024,16.56680
21/05/2024,16.61380
22/05/2024,16.64050
23/05/2024,16.69450
24/05/2024,16.70230
27/05/2024,16.65680
28/05/2024,16.74570
29/05/2024,16.95000
30/05/2024,16.93770
31/05/2024,17.01770
03/06/2024,17.63380
04/06/2024,17.86070
05/06/2024,17.55920
06/06/2024,17.53350
07/06/2024,18.26220
10/06/2024,18.38480
11/06/2024,18.44570
12/06/2024,18.78320
13/06/2024,18.53850
14/06/2024,18.45120
17/06/2024,18.52480
18/06/2024,18.41280
19/06/2024,18.42300
20/06/2024,18.40270
21/06/2024,18.18480
24/06/2024,17.96270
25/06/2024,18.13720
26/06/2024,18.22150
27/06/2024,18.37730
28/06/2024,18.24780
01/07/2024,18.38970
02/07/2024,18.24850
03/07/2024,18.13550
04/07/2024,18.09580
05/07/2024,18.09770
08/07/2024,18.00950
09/07/2024,17.94280
10/07/2024,17.82880
11/07/2024,17.81920
12/07/2024,17.65020
15/07/2024,17.78370
16/07/2024,17.67950
17/07/2024,17.74380
18/07/2024,17.89070
19/07/2024,17.99700
22/07/2024,17.91070
23/07/2024,18.09870
24/07/2024,18.34580
25/07/2024,18.38500
26/07/2024,18.44750
29/07/2024,18.68180
30/07/2024,18.79000
31/07/2024,18.59700
01/08/2024,18.70600
02/08/2024,19.04420
05/08/2024,19.39050
06/08/2024,19.33000
07/08/2024,19.18900
08/08/2024,19.09000
09/08/2024,18.83680
12/08/2024,19.03200
13/08/2024,19.03870
14/08/2024,18.84780
15/08/2024,18.65130
16/08/2024,18.62280
19/08/2024,18.73570
20/08/2024,18.94480
21/08/2024,19.25350
22/08/2024,19.42350
23/08/2024,19.07080
26/08/2024,19.38200
27/08/2024,19.66920
28/08/2024,19.60370
29/08/2024,19.81680
30/08/2024,19.65350
02/09/2024,19.79800
03/09/2024,19.83350
04/09/2024,19.84600
05/09/2024,20.00280
06/09/2024,20.01720
09/09/2024,19.87980
10/09/2024,20.05830
11/09/2024,19.83900
12/09/2024,19.58870
13/09/2024,19.24830
17/09/2024,19.26700
18/09/2024,19.30330
19/09/2024,19.27730
20/09/2024,19.37250
23/09/2024,19.41500
24/09/2024,19.35620
25/09/2024,19.58700
26/09/2024,19.62900
27/09/2024,19.66970
30/09/2024,19.64400
02/10/2024,19.38850
03/10/2024,19.46780
04/10/2024,19.21270
07/10/2024,19.33880
08/10/2024,19.35320
09/10/2024,19.41750
10/10/2024,19.51130
11/10/2024,19.39830
14/10/2024,19.34200
15/10/2024,19.62000
16/10/2024,19.89250
17/10/2024,19.93130
18/10/2024,19.83250
21/10/2024,20.00750
22/10/2024,19.89850
23/10/2024,19.93380
24/10/2024,19.83850
25/10/2024,19.93030
28/10/2024,20.00070
29/10/2024,20.02080
30/10/2024,20.16170
31/10/2024,20.03780
01/11/2024,20.09080
04/11/2024,20.03670
05/11/2024,20.26950
06/11/2024,20.30930
07/11/2024,19.82770
08/11/2024,20.13320
11/11/2024,20.45020
12/11/2024,20.56930
13/11/2024,20.60250
14/11/2024,20.49400
15/11/2024,20.38870
19/11/2024,20.18480
20/11/2024,20.29030
21/11/2024,20.37750
22/11/2024,20.48720
25/11/2024,20.29930
26/11/2024,20.71850
27/11/2024,20.64180
28/11/2024,20.41730
29/11/2024,20.32120
02/12/2024,20.43570
03/12/2024,20.32330
04/12/2024,20.28300
05/12/2024,20.19630
06/12/2024,20.22750
09/12/2024,20.15470
10/12/2024,20.24850
11/12/2024,20.16470
13/12/2024,20.14200
16/12/2024,20.14480
17/12/2024,20.23630
18/12/2024,20.13950
19/12/2024,20.44020
20/12/2024,20.10350
23/12/2024,20.19480
24/12/2024,20.15580
26/12/2024,20.16570
27/12/2024,20.26830
30/12/2024,20.51030
31/12/2024,20.78620

